CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
B,C,A,C,C,B,B,D,E,A,C,A,D,F,B,C,C,C,A,A,A,B,A,A,B,A,B,C,A,B,C,A,H,F,5,6,5,6,6,6,6,6,5,6,5,5,5,4,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,4,5,6,5,5,6,8,6,5,5
C,D,C,B,A,C,A,C,C,B,C,A,E,D,C,B,D,E,E,A,A,C,A,A,A,A,B,C,A,B,C,E,E,C,3,5,1,2,1,3,3,1,3,5,1,1,2,1,1,6,2,2,2,1,1,1,2,7,7,1,1,5,1,1,5,4,1,1,1,1,1,2,1,1,1,1
B,B,C,A,B,B,A,E,C,A,A,A,E,D,B,G,F,C,D,A,A,B,A,A,B,A,B,A,A,C,E,C,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,6,4,4,7,6,6,6,6,6,6,6,6,6,6,5,5,5,6,1,6,6,3
C,C,D,B,B,C,D,D,C,A,C,A,E,D,B,E,F,B,A,A,A,A,F,A,B,A,A,A,A,A,B,E,E,G,4,4,4,3,3,4,5,4,3,4,4,4,5,4,3,6,4,5,4,8,4,4,4,7,4,8,4,8,5,4,4,4,2,3,2,2,2,4,8,7,2,3
C,C,B,B,B,B,D,D,D,A,A,A,C,F,D,B,D,B,A,A,A,C,B,A,E,A,B,C,A,C,C,E,H,A,4,4,5,5,6,6,6,5,4,6,5,4,5,3,6,6,6,6,4,5,5,5,4,7,6,2,6,6,5,6,5,6,5,4,4,4,5,4,6,5,1,4
B,B,C,B,B,B,D,E,B,A,A,A,D,D,B,F,E,E,D,A,A,B,A,A,D,A,B,E,A,B,B,E,E,A,5,5,5,4,6,6,4,4,4,6,6,5,6,5,5,6,6,6,6,4,6,5,6,7,6,4,6,6,6,5,6,6,4,5,2,2,2,4,2,2,1,6
D,E,C,B,B,C,A,D,C,A,A,A,E,D,D,A,C,D,A,A,D,B,A,A,B,A,B,K,A,C,D,C,E,A,6,6,5,5,6,6,4,5,5,6,6,6,6,5,6,6,5,5,6,4,6,5,5,7,6,5,5,6,5,5,5,5,3,4,2,1,1,4,4,6,4,5
C,C,C,B,B,C,B,D,D,A,A,A,D,D,B,B,D,E,D,A,A,A,A,A,A,B,B,C,A,C,C,E,E,F,4,3,4,3,5,4,4,4,4,5,3,4,5,3,3,5,4,3,3,8,3,3,5,7,7,8,8,5,4,4,5,5,3,4,2,2,2,5,2,4,3,2
C,C,C,B,B,C,A,D,B,A,A,A,F,E,B,E,E,B,A,A,A,B,B,A,B,A,B,A,A,B,C,E,A,A,5,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,6,6,4,4,5,5,5,7,5,4,6,5,5,6,4,5,5,5,4,2,2,5,4,4,4,4
C,C,C,B,B,C,D,C,C,A,C,A,C,B,D,A,B,D,E,A,F,B,A,D,A,A,B,G,B,B,B,A,E,A,5,5,5,4,5,4,5,4,4,5,4,4,6,5,5,6,6,6,5,8,4,2,2,8,8,6,6,8,4,5,4,4,2,4,2,1,2,3,2,8,4,2
C,C,C,B,B,C,A,D,C,A,C,A,D,D,B,E,B,B,A,A,A,F,B,A,B,A,B,A,A,B,B,A,B,C,3,3,2,4,4,4,3,4,3,6,5,4,4,4,4,4,6,6,6,6,5,5,5,4,8,1,6,6,5,5,4,6,1,6,2,2,2,6,6,4,4,4
C,D,B,B,B,C,B,D,E,A,C,A,F,F,B,E,E,B,A,A,A,A,A,A,B,A,B,A,A,A,B,E,E,A,5,6,6,5,5,5,5,5,4,6,5,5,5,5,5,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,3,2,3,4,4,5,2,3
C,C,D,A,A,B,B,E,D,B,A,A,E,F,C,B,E,C,E,A,A,A,A,A,B,A,B,C,A,B,B,A,E,F,6,4,4,5,6,6,4,5,4,5,6,6,6,4,5,5,4,6,4,6,6,4,5,7,8,8,8,6,6,6,6,6,3,4,5,4,4,4,6,3,3,6
C,C,C,A,A,B,A,D,C,A,C,A,D,D,D,A,C,C,B,A,A,D,A,A,E,A,B,B,B,B,D,C,E,A,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,4
C,D,B,B,B,C,A,C,D,A,C,A,B,A,B,D,B,D,A,A,B,A,A,A,B,A,B,C,A,B,C,A,A,F,6,5,4,4,5,4,4,4,4,5,4,4,5,3,6,6,6,6,5,4,2,3,5,7,8,4,5,4,6,6,6,5,3,4,5,1,1,4,8,5,3,5
C,D,C,A,A,B,B,D,C,A,B,A,D,E,A,A,D,C,D,A,A,A,A,A,B,A,B,A,A,C,C,A,A,F,6,4,5,5,5,5,5,5,5,6,5,5,5,5,5,6,6,6,6,5,4,4,5,7,6,2,6,6,6,4,6,6,5,4,4,4,3,6,4,4,4,3
A,C,C,B,B,C,A,D,C,A,C,A,B,D,B,C,D,F,E,A,A,A,A,A,A,B,A,H,A,C,C,A,E,F,5,4,4,4,5,5,5,5,5,6,6,4,5,3,4,6,4,6,3,4,4,4,4,5,5,6,6,4,4,6,5,5,5,4,6,6,5,4,3,5,6,6
C,C,C,A,B,C,B,D,C,A,C,A,E,E,B,C,E,A,A,A,A,C,A,A,B,A,B,G,A,E,B,D,E,A,5,6,6,6,6,4,5,5,5,5,5,5,5,4,5,5,6,6,4,5,5,5,6,6,6,5,6,5,5,6,6,5,4,5,4,5,5,5,8,5,6,5
D,D,C,C,B,B,B,.,D,C,A,A,E,E,C,B,C,D,E,A,A,A,A,A,B,A,B,C,A,B,E,E,H,A,3,3,5,1,5,5,5,5,2,5,3,5,5,1,5,6,4,4,4,4,5,3,4,7,6,4,4,4,5,3,5,4,5,4,2,2,3,4,1,5,4,3
C,C,C,B,B,B,B,D,C,A,A,A,E,B,B,D,D,A,B,A,A,C,A,D,A,A,C,G,A,C,E,C,E,F,6,6,6,6,5,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,4,5,3,3,4,5,3,5,5,5
B,C,B,B,B,A,D,D,C,A,A,A,D,D,B,D,A,C,B,A,A,B,A,D,A,A,A,A,A,C,C,E,E,F,5,4,6,4,5,5,6,6,6,5,5,4,4,3,3,4,6,6,4,6,5,5,5,7,5,3,5,2,5,5,5,6,4,4,3,3,2,6,6,5,4,4
B,C,C,B,A,C,B,D,C,A,C,A,D,A,B,F,D,E,E,A,A,B,A,A,A,A,F,A,B,D,C,E,E,F,6,6,6,5,8,6,5,5,6,6,6,6,6,4,8,6,6,6,5,8,4,4,6,7,7,4,6,2,5,5,6,6,4,4,3,3,3,6,4,5,6,4
B,C,C,A,B,B,D,D,B,B,C,A,C,E,C,C,E,D,E,A,A,A,A,A,A,B,B,K,A,C,B,C,E,A,5,5,4,4,5,5,4,4,5,4,3,4,5,4,4,5,5,5,5,4,4,4,4,8,5,5,5,4,4,4,5,5,3,3,1,1,2,3,2,4,2,5
C,E,A,C,D,A,B,C,B,A,A,A,F,E,B,F,F,C,A,A,A,C,A,A,B,A,B,G,A,C,B,E,E,C,4,4,5,6,3,4,3,2,1,5,4,4,5,4,5,5,6,6,4,3,4,4,5,7,7,5,4,5,3,5,5,6,4,4,2,1,1,4,2,3,4,4
C,D,B,B,D,C,C,E,C,A,A,A,B,C,B,F,D,D,B,A,A,B,F,A,B,A,A,A,B,D,D,E,E,A,2,1,1,3,2,3,2,1,3,3,3,2,3,3,6,6,6,6,5,6,5,1,1,1,6,5,6,1,5,6,4,6,6,6,1,1,1,5,8,3,1,6
B,C,B,B,B,B,A,D,D,A,A,A,C,E,B,C,F,E,D,A,A,B,A,A,A,B,B,K,A,B,E,C,E,A,4,4,4,3,4,5,5,5,6,6,4,5,6,6,6,6,5,6,4,6,2,6,4,6,6,6,6,6,4,6,5,2,5,6,1,1,1,6,6,5,5,3
.,.,.,.,.,.,.,.,.,A,C,A,C,C,B,D,D,D,E,A,A,B,B,D,D,A,A,A,A,A,A,A,A,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C,D,C,A,A,B,B,D,B,A,A,A,D,E,B,E,E,C,C,A,A,A,A,A,B,A,B,G,A,C,B,A,H,F,4,2,4,2,4,6,3,1,2,4,3,4,2,3,6,5,6,6,5,1,3,2,3,7,6,3,6,5,4,6,5,6,2,6,3,2,1,3,1,3,3,3
