CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
C,C,C,D,C,C,B,D,B,A,B,A,C,D,B,C,D,D,D,B,A,A,A,A,B,B,G,C,A,B,B,E,C,B,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,C,C,C,B,D,B,A,A,A,D,C,B,E,D,C,A,E,A,A,A,A,A,A,A,C,B,B,A,E,E,C,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,5,5,6,6,5,1,3,5,5,5,5,5,5,5,5,5,5,4,5,5,6
E,E,A,B,B,B,B,D,D,A,A,A,B,B,B,D,A,B,A,B,A,A,A,A,A,A,B,C,B,E,C,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,B,C,A,A,B,A,D,D,A,A,A,D,D,B,D,D,C,E,K,A,A,A,C,A,A,B,C,B,C,B,E,A,B,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,B,C,B,D,C,A,C,A,B,C,B,E,B,C,A,C,A,A,A,D,E,B,C,E,B,C,B,D,E,H,5,6,6,5,5,6,6,6,5,5,6,5,5,5,6,6,5,4,5,4,5,4,4,6,6,3,4,4,4,5,5,5,6,4,6,6,6,6,3,4,3,6
C,C,B,B,B,C,B,D,E,A,C,A,D,B,B,E,B,C,D,B,A,A,A,A,B,B,B,C,A,C,C,D,E,F,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,C,C,B,D,D,A,C,A,B,B,B,E,C,E,E,B,A,F,A,A,B,B,B,C,A,B,D,A,A,B,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,5,6,6,5,6,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
C,D,C,D,D,C,A,A,D,A,A,A,D,D,B,F,E,C,D,B,A,A,A,A,A,A,B,C,A,C,C,E,E,C,4,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,3,3,3,2,2,5,3,4,4,2,3,3
B,C,B,A,B,B,B,D,D,B,A,A,B,B,C,B,F,F,E,B,A,A,A,A,B,B,F,H,A,B,B,A,C,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,D,C,C,C,D,A,C,C,A,C,A,D,C,B,C,E,C,E,B,A,A,A,A,A,A,B,A,A,B,B,E,A,C,4,5,3,3,5,4,4,4,4,4,5,4,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5
C,C,B,C,C,C,B,D,D,A,C,A,D,D,B,C,C,D,D,I,F,A,A,F,A,A,B,C,B,B,B,E,H,H,4,4,3,6,6,6,5,5,5,5,5,5,5,8,4,6,5,4,4,8,4,4,5,5,5,7,7,5,5,5,5,5,5,3,4,4,5,5,8,5,4,5
D,C,B,A,A,B,C,D,C,A,C,A,C,F,A,A,C,B,A,B,A,A,A,A,B,A,B,C,A,B,B,E,C,C,6,6,4,4,4,4,4,4,4,4,4,4,5,5,3,4,2,4,2,1,3,3,4,2,2,4,2,4,2,3,3,5,4,4,3,4,3,4,3,4,3,3
C,C,B,B,C,C,B,D,D,A,C,A,B,B,D,C,B,C,E,B,A,A,A,A,A,A,G,E,A,C,C,E,E,B,5,5,3,4,4,5,5,5,5,5,4,4,5,3,4,4,1,1,5,1,3,3,3,2,6,1,1,5,5,4,4,5,4,1,3,3,3,5,4,3,4,4
B,C,C,B,B,C,A,B,C,A,C,A,B,C,B,D,B,C,E,C,A,A,A,D,A,A,B,C,B,B,B,E,A,H,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,3,4,4,3,1,3,3,3,3,4,5,5,5,5,4,4,5,5,1,6,4,5,5,1,4,3,6
B,C,C,A,A,B,B,D,D,A,A,A,D,D,B,D,C,C,A,B,A,A,A,A,A,A,B,A,A,C,B,E,H,B,4,3,4,2,2,6,4,5,4,5,5,4,3,3,5,3,2,2,5,5,3,3,5,5,6,2,2,4,4,4,4,6,4,5,4,4,3,5,5,4,3,6
C,D,C,B,B,B,A,C,C,A,C,A,D,C,B,D,A,C,A,C,A,A,A,E,A,A,A,G,A,B,B,E,E,C,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,8,4,4,4,6,4,8,8,4,4,4,4,5,4,8,4,4,4,4,4,4,8,4
C,B,C,B,B,C,B,D,D,A,B,A,C,E,B,D,D,C,A,B,A,A,A,A,B,B,B,C,A,A,B,E,E,F,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,D,B,A,A,B,B,E,D,A,A,A,B,F,B,C,E,D,E,B,A,A,A,A,E,D,B,G,A,B,B,A,C,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,D,A,B,B,C,E,D,D,A,C,A,B,C,A,A,C,C,E,H,A,A,A,A,A,A,C,A,A,C,C,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,B,C,E,E,D,A,A,A,D,D,B,E,E,D,E,H,E,F,A,A,E,A,B,A,B,B,B,E,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,B,C,A,D,D,A,A,B,D,F,F,C,B,B,A,B,A,A,A,A,A,A,A,A,A,B,B,A,A,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,A,C,A,B,C,E,D,D,A,A,A,D,D,A,A,E,E,E,H,A,A,A,A,D,A,G,H,B,C,D,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,B,C,A,D,C,A,A,A,C,C,B,D,B,C,D,B,A,A,A,A,A,A,B,C,A,D,C,A,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,B,B,B,E,E,D,B,A,A,A,D,D,B,F,E,D,E,B,A,A,A,A,D,A,B,C,A,C,C,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,D,C,D,B,C,B,D,C,A,A,A,B,B,B,D,C,C,E,B,A,A,A,A,A,A,B,D,B,B,C,A,C,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,D,C,D,D,B,B,D,D,A,A,A,C,D,B,D,C,B,A,D,A,A,A,A,A,A,B,C,B,A,C,A,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
.,.,.,.,.,.,.,.,.,A,C,A,D,D,B,C,C,C,E,B,A,A,A,A,A,A,B,E,A,C,B,A,H,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,C,C,D,B,D,A,C,D,A,A,A,B,B,B,D,C,E,C,B,A,A,A,A,A,A,D,K,B,B,B,A,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,C,A,B,C,B,D,C,A,A,A,C,D,B,C,E,D,E,H,A,A,A,A,A,A,B,G,A,B,C,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A,B,B,D,B,C,A,C,E,A,A,A,D,F,A,A,E,D,E,B,A,A,A,A,B,A,B,A,A,B,C,A,A,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C,E,A,D,D,D,B,B,B,A,A,A,D,D,B,D,F,D,E,B,A,A,A,A,A,A,B,J,B,B,B,E,A,F,6,2,2,2,4,6,6,4,4,3,4,1,4,5,6,6,4,5,5,1,6,4,4,1,7,6,6,1,6,6,5,5,3,6,4,5,5,6,6,6,6,5
D,E,B,B,B,C,B,B,D,A,A,A,D,B,B,F,C,D,E,B,A,D,A,A,A,A,B,A,B,C,C,A,B,I,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,C,B,C,C,D,C,D,C,A,A,A,C,C,B,C,C,C,E,B,A,A,A,A,A,A,B,C,A,B,B,E,A,C,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,8,5,5,5,7,5,8,8,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5
D,C,A,C,B,C,A,D,C,A,A,A,D,E,A,A,A,C,C,J,A,C,A,A,A,A,A,C,A,A,B,E,A,E,6,6,4,5,6,4,5,6,6,5,5,5,6,4,6,6,3,3,3,3,5,4,4,6,6,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5
D,E,C,A,A,C,A,D,B,A,A,A,D,C,B,C,D,E,E,B,A,A,A,A,D,A,B,A,A,A,B,A,C,C,3,3,2,2,3,3,4,2,2,3,2,2,2,1,6,4,4,4,4,8,4,3,3,7,1,8,8,8,7,2,3,4,2,2,2,1,1,3,3,2,3,1
C,C,B,B,B,D,D,D,B,A,A,A,D,D,B,E,E,D,E,B,A,C,A,A,B,B,B,D,A,B,B,D,A,C,5,5,5,3,4,5,5,4,4,4,4,4,3,3,5,4,5,4,5,4,4,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,5,4,4,4,3,3
C,D,C,B,C,C,D,D,B,A,C,A,D,B,B,G,D,A,B,C,A,A,A,D,A,A,B,G,B,B,B,E,A,H,6,5,4,5,5,4,3,4,4,4,5,4,3,3,6,5,3,2,3,1,4,4,4,5,5,3,1,2,4,4,3,6,4,4,3,3,4,5,5,4,3,1
B,D,C,A,B,C,B,D,B,A,B,A,E,F,B,D,E,C,E,H,A,A,A,F,B,A,A,K,A,A,B,E,C,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,C,C,B,B,C,D,D,B,B,A,A,C,C,C,C,E,F,E,B,A,A,A,D,A,B,E,K,B,C,B,C,E,C,5,5,6,6,4,6,6,4,2,5,4,4,5,6,6,5,6,6,6,4,5,5,4,7,6,4,4,6,5,3,5,6,5,4,6,6,6,6,1,4,6,5
C,D,B,B,C,C,B,D,D,B,A,A,D,D,C,B,D,E,E,J,A,A,A,A,A,A,B,C,A,B,D,E,C,I,5,3,5,5,5,6,6,5,5,5,6,5,6,5,6,6,6,6,6,8,5,5,5,7,6,5,5,6,4,5,5,6,5,7,5,3,3,6,6,6,4,6
C,D,C,B,B,C,A,A,B,A,A,A,C,C,B,C,D,D,E,B,A,A,A,A,A,A,A,J,B,A,B,A,A,E,5,5,4,5,4,6,5,4,5,4,4,4,5,5,5,4,5,4,5,3,5,5,5,7,5,5,5,5,5,5,5,6,5,5,4,5,6,5,4,5,4,5
C,C,D,A,A,B,A,D,C,A,A,A,D,D,B,E,D,C,E,B,A,F,A,D,A,A,G,A,B,B,C,E,A,C,4,4,2,2,3,6,4,5,5,1,3,3,4,5,5,3,5,4,6,8,4,3,5,5,6,1,1,2,4,2,3,4,6,6,5,3,1,4,6,5,8,4
D,D,C,D,D,C,B,C,C,A,A,A,D,E,A,A,C,D,E,K,A,A,A,A,A,A,B,C,A,C,B,E,A,I,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
D,D,B,C,B,B,B,E,B,A,A,A,D,D,B,B,D,D,E,B,A,A,A,A,B,A,B,A,A,D,D,D,E,F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
C,C,D,B,B,B,B,D,B,A,A,A,D,E,B,C,E,D,E,B,A,A,A,A,A,A,B,A,B,B,A,E,A,C,4,5,4,5,5,5,5,5,5,6,2,3,1,4,6,4,3,2,2,1,2,3,3,4,4,5,4,5,5,4,5,5,5,6,5,4,5,5,4,4,5,5
C,D,C,B,B,B,B,D,B,A,A,A,E,D,A,B,B,C,E,G,A,F,A,A,A,A,B,A,A,B,B,A,A,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,A,A,B,B,C,B,B,B,A,A,D,F,C,B,E,E,E,I,A,A,A,A,A,B,B,A,A,E,A,E,E,I,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,C,B,B,E,D,C,A,A,A,C,C,D,A,D,D,D,B,A,A,A,D,A,A,B,B,A,C,C,A,A,I,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,5,5,5,5,4,6,4,5,5,4,5,5,5
B,C,C,A,A,C,E,D,B,A,B,A,D,D,B,B,B,C,D,H,A,F,A,A,A,A,B,A,B,C,C,A,H,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,B,D,B,B,C,A,B,A,B,D,B,C,A,C,A,B,A,A,A,A,A,A,A,C,B,A,D,E,H,I,5,5,7,4,8,7,6,4,5,5,4,4,5,8,7,4,5,1,5,5,4,4,4,1,5,1,1,4,4,5,5,5,5,4,4,4,4,6,8,4,5,5
D,E,C,B,C,C,B,D,C,A,A,A,B,C,B,C,C,E,E,B,A,A,A,A,A,A,A,B,A,C,C,E,A,I,6,6,6,6,6,6,5,5,6,5,4,4,5,3,6,6,5,5,4,5,4,4,4,6,6,7,7,6,6,3,5,6,5,2,5,5,4,5,6,5,4,5
C,C,C,B,B,B,B,B,B,A,A,A,D,C,B,D,E,B,A,E,A,A,A,A,A,A,B,H,A,B,B,E,A,F,3,2,3,4,4,5,5,5,5,5,4,4,2,2,4,5,3,3,2,3,4,4,4,4,4,1,1,8,5,2,3,6,5,3,5,5,5,5,5,5,3,5
D,E,C,B,D,C,B,B,D,A,A,A,B,C,B,D,C,D,E,B,A,A,A,A,A,A,B,G,A,B,C,E,A,E,3,3,5,5,5,5,5,5,5,5,4,3,3,3,3,4,3,3,2,2,3,3,3,4,4,2,2,4,3,3,4,5,5,3,5,4,4,5,4,4,3,6
C,C,C,B,B,B,B,D,D,A,A,A,E,D,B,C,D,B,A,B,A,A,A,A,D,A,B,C,A,B,C,E,C,C,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,5,5,5,6,6,4,6,6,6,6,6,6,6,6
C,D,C,B,D,B,B,D,D,B,E,A,E,D,C,E,B,C,E,B,A,A,A,A,B,A,B,C,A,C,B,E,A,F,3,4,1,1,4,6,5,4,3,3,3,3,3,3,5,4,2,2,2,2,3,2,2,5,3,3,2,2,5,5,5,3,2,2,2,2,2,5,4,4,3,5
C,D,C,D,B,C,E,D,D,A,A,A,D,D,B,C,C,D,E,B,A,A,A,A,A,A,B,A,B,B,B,E,C,F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
C,D,C,C,D,C,B,A,D,B,D,A,C,C,C,D,A,E,A,H,A,A,A,A,D,D,F,A,B,B,D,E,A,F,4,2,5,5,6,3,6,5,2,5,5,4,6,4,5,6,4,5,4,3,6,5,5,3,5,1,1,5,5,2,5,6,5,1,3,3,4,6,6,5,4,6
D,D,B,D,D,C,B,C,C,A,C,A,E,C,B,D,C,E,D,E,A,A,A,A,A,A,B,C,B,B,B,E,A,I,7,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,4,4,1,2,4,4,4,4,4,5,1,3,3,2,4,6,1,2,6,6,6,6,6,5,1,6
C,C,B,B,C,C,B,D,D,A,A,A,B,D,B,E,C,C,E,C,A,A,A,A,A,A,A,A,B,E,B,E,H,H,4,4,3,5,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,4,4,5,5
C,C,C,B,B,B,A,B,B,A,C,A,B,B,B,C,C,E,E,C,A,A,A,A,A,A,A,A,B,B,C,E,C,F,5,6,6,6,5,5,5,5,5,6,4,4,5,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4
C,C,C,C,B,C,B,B,B,A,A,A,E,E,B,E,E,C,E,B,A,A,A,A,E,A,B,G,A,B,B,E,A,E,4,5,4,4,5,6,5,5,5,4,4,4,4,5,4,6,4,4,4,3,4,4,4,7,4,7,7,3,5,2,4,6,4,3,3,3,4,6,4,5,2,6
C,D,B,A,A,C,B,D,C,B,C,A,B,B,C,C,D,E,E,I,A,A,A,A,D,A,A,B,A,B,B,A,A,F,5,4,5,5,4,6,6,5,6,6,6,5,6,5,6,6,5,5,6,4,6,6,5,5,5,5,6,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5
C,D,A,B,C,C,E,C,B,A,A,A,E,F,B,D,F,C,E,B,A,A,A,A,A,A,F,A,A,B,A,E,E,I,5,5,5,6,6,6,6,6,4,6,6,5,5,6,5,5,6,6,6,6,6,6,6,6,6,8,1,6,6,4,5,6,6,6,6,6,6,6,6,6,6,5
C,C,C,B,B,C,A,D,D,A,A,A,C,E,B,B,E,D,E,B,A,A,A,A,A,A,B,C,A,B,B,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,6,4,4,6,6,5,5,6,6,4,1,4,4,5,5,6,4,1,2,5,3,6,1,5,6,1
D,D,A,C,C,D,B,C,D,D,C,A,B,B,B,C,D,E,E,B,A,A,A,C,A,A,F,G,B,B,B,E,A,E,5,4,5,6,5,6,6,6,5,4,5,4,6,5,5,5,4,3,4,2,3,3,5,3,4,2,2,6,5,2,5,6,4,7,4,5,5,6,6,5,4,5
C,C,C,C,C,B,E,D,B,A,C,A,C,D,B,E,C,D,D,B,A,A,A,A,A,A,A,A,A,E,E,E,A,G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
B,C,C,B,C,C,B,D,C,A,A,A,E,D,B,C,E,C,E,E,A,A,A,A,D,E,A,C,A,A,B,D,E,F,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,4,6,6,6,5,6,6,5,6,6,3,4,6,5,6,6,5,6,5,5,4,4,6,6,6,6,6
D,D,C,A,A,C,B,C,E,A,B,A,C,E,D,A,A,C,E,B,A,A,A,A,A,A,A,K,A,B,B,E,C,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6
C,C,C,B,B,C,B,D,C,A,A,A,D,D,B,E,C,C,E,B,A,A,A,A,A,A,B,A,B,C,C,E,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,C,C,E,D,C,A,A,A,C,B,A,A,B,E,E,B,A,A,A,A,A,A,B,G,A,B,C,E,A,F,5,5,4,6,6,6,4,5,4,4,4,5,5,6,5,5,5,5,5,6,6,4,5,6,5,3,4,6,6,6,5,6,6,4,5,6,5,6,6,6,5,6
C,C,B,B,B,D,B,D,D,A,C,A,B,B,B,D,C,E,E,I,A,A,A,A,A,A,B,C,B,B,B,E,A,H,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6
D,D,C,C,C,C,B,B,C,A,A,A,D,C,B,D,D,C,B,B,A,A,A,A,B,D,B,A,B,C,D,A,A,F,5,5,5,4,5,4,6,6,6,4,5,5,5,5,6,5,6,6,6,5,4,5,4,5,6,6,7,3,4,5,4,6,6,6,4,5,4,6,6,6,3,4
C,D,C,B,B,B,D,D,C,B,C,A,D,F,C,H,C,E,E,C,A,A,A,E,A,A,B,C,A,A,B,E,A,H,6,5,5,4,5,6,5,6,6,6,6,5,4,5,5,6,5,5,2,6,6,5,6,6,6,6,1,6,5,3,3,6,6,1,5,6,6,6,6,6,4,4
C,C,A,B,B,C,B,E,C,E,C,A,D,D,B,C,B,B,A,H,A,F,A,A,D,D,B,H,A,C,E,E,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,8,8,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
C,C,C,B,A,B,B,D,D,A,A,A,E,F,B,D,E,D,E,E,A,A,A,A,A,A,B,C,A,E,B,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6
C,D,A,C,B,C,B,D,D,A,C,A,D,C,A,A,C,E,E,H,A,A,A,C,A,A,B,C,A,D,C,E,C,C,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,B,C,A,D,C,A,C,A,C,F,A,A,E,B,A,B,A,A,A,A,A,A,B,C,A,B,C,A,E,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,8,6,6
B,C,C,B,B,B,B,D,B,A,A,A,D,E,B,B,E,C,E,H,A,A,A,A,B,A,A,D,A,C,E,E,H,H,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,E,B,B,C,E,D,B,B,B,A,B,B,C,D,F,D,E,E,A,A,A,A,A,A,C,K,A,E,D,E,E,F,6,6,1,2,5,1,3,2,1,4,3,5,5,6,6,6,2,1,6,1,6,6,6,6,1,3,1,4,6,6,6,6,6,6,6,6,6,4,6,4,6,6
C,C,C,C,B,D,D,D,B,A,C,A,D,D,B,E,F,C,D,B,A,A,A,A,B,A,B,A,A,C,C,E,C,F,6,5,6,6,6,6,6,6,6,5,6,6,5,5,5,6,5,6,6,4,6,6,5,6,6,4,4,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5
B,C,B,A,A,A,E,D,C,A,C,A,D,D,B,E,F,C,E,B,A,A,A,A,B,A,B,C,A,D,C,E,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,C,B,C,B,D,C,B,C,A,D,D,C,B,E,F,E,C,A,D,A,B,A,A,B,F,A,C,C,E,A,F,4,6,5,4,5,5,5,4,5,5,5,3,3,3,4,4,4,3,4,3,3,4,4,3,6,5,4,4,4,3,4,6,4,3,3,3,3,3,3,5,5,2
C,C,C,A,A,B,A,D,C,A,A,A,F,D,B,D,F,C,E,B,A,A,A,A,A,A,B,C,A,B,B,E,E,F,4,6,4,5,4,4,5,4,4,4,4,4,5,4,4,4,5,5,5,3,4,4,5,5,4,4,3,5,5,5,5,4,4,5,4,5,4,3,3,3,3,4
B,C,B,B,B,B,E,D,C,A,A,A,D,D,B,D,F,C,E,B,A,A,A,A,D,A,B,C,B,B,C,E,E,F,5,5,4,5,4,6,5,5,5,5,4,5,5,8,4,6,6,6,4,8,5,4,5,5,5,4,4,4,4,4,4,6,6,6,4,4,4,4,4,4,4,4
B,C,C,B,B,B,C,D,D,A,A,A,C,D,B,C,C,E,E,C,A,A,A,C,A,A,B,C,B,B,C,E,E,F,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,6
C,D,C,A,A,C,A,D,B,A,A,A,D,F,B,C,E,B,A,B,A,A,A,A,B,A,B,G,A,C,B,E,B,F,4,3,3,4,3,5,4,2,4,4,3,3,4,4,4,4,5,3,5,1,3,3,3,3,4,1,4,4,3,5,5,6,6,4,5,6,5,5,5,3,3,6
C,D,B,B,B,D,B,D,D,A,A,A,E,D,B,D,E,C,E,H,A,A,A,A,B,A,B,A,A,A,B,E,C,H,4,5,1,2,6,3,3,2,2,2,5,4,5,4,4,4,5,5,4,4,4,2,5,1,5,4,3,4,4,4,3,6,5,4,5,3,4,4,4,3,2,2
C,D,C,A,A,C,A,D,D,A,A,A,D,B,B,E,B,A,A,C,A,A,B,C,B,A,B,A,A,C,B,E,A,F,5,4,5,4,6,4,5,5,5,5,5,5,4,6,6,5,5,6,6,5,5,4,6,3,5,3,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6
