CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3
3,10002,10028,4004,SE,2,29,M,2002,2008,0,1,0,56.7,79.6,75.0,86.5,96.0,80.0,100.0,77.0,65.0,80.0,49.0,52.4,30.0,0.0,50.0,40.0
3,10002,10028,4004,SE,2,22,M,2009,2010,0,1,0,64.7,64.5,62.5,67.5,58.0,50.0,60.0,77.0,65.0,80.0,64.7,71.4,26.7,10.0,30.0,40.0
3,10002,10028,4004,SE,2,23,M,2008,2009,0,1,0,69.5,73.5,87.5,52.5,57.0,85.0,50.0,48.0,60.0,45.0,68.2,71.4,50.0,70.0,0.0,80.0
3,10002,10028,4004,SE,2,22,M,2010,2011,0,1,0,81.1,71.3,87.5,47.0,94.0,70.0,100.0,0.0,0.0,0.0,84.4,85.7,76.7,60.0,90.0,80.0
3,10002,10028,4004,SE,2,24,M,2007,2009,0,1,0,55.0,79.0,100.0,47.5,95.0,75.0,100.0,0.0,0.0,0.0,47.0,47.6,43.3,0.0,50.0,80.0
3,10002,10028,4004,SE,2,22,M,2009,2010,0,1,0,46.2,83.5,87.5,77.5,93.0,65.0,100.0,62.0,70.0,60.0,33.8,33.3,36.7,40.0,30.0,40.0
5,10002,10028,4004,PI,2,23,M,2008,2009,1,1,0,81.6,85.2,100.0,63.0,78.0,90.0,75.0,48.0,60.0,45.0,80.4,81.0,76.7,90.0,40.0,100.0
5,10002,10028,4004,PI,2,27,M,2007,2009,1,1,0,60.7,60.5,62.5,57.5,56.0,40.0,60.0,59.0,55.0,60.0,60.7,66.7,26.7,0.0,40.0,40.0
5,10002,10028,4004,PI,2,25,M,2008,2009,1,1,0,55.6,76.9,87.5,61.0,49.0,65.0,45.0,73.0,45.0,80.0,48.5,52.4,26.7,0.0,40.0,40.0
5,10002,10028,4004,PI,2,23,M,2008,2010,1,1,0,36.8,60.7,62.5,58.0,78.0,70.0,80.0,38.0,70.0,30.0,28.8,28.6,30.0,0.0,50.0,40.0
