data,time1,time2,result
06/11/2002,"Gama","Cruzeiro",D
06/11/2002,"SãoCaetano","Internacional",E
06/11/2002,"SãoPaulo","Vasco",V
06/11/2002,"Vitória","Guarani",V
07/11/2002,"AtléticoMG","Coritiba",V
07/11/2002,"Corinthians","Portuguesa",V
07/11/2002,"Paraná","BotafogoRJ",V
09/11/2002,"Cruzeiro","AtléticoPR",V
09/11/2002,"Grêmio","SãoCaetano",E
09/11/2002,"Paysandu","Fluminense",V
09/11/2002,"Santos","PontePreta",D
09/11/2002,"Vasco","Vitória",V
10/11/2002,"BotafogoRJ","Corinthians",V
10/11/2002,"Coritiba","Paraná",V
10/11/2002,"Goiás","AtléticoMG",V
10/11/2002,"Guarani","Bahia",E
10/11/2002,"Juventude","Internacional",V
10/11/2002,"Portuguesa","Flamengo",D
13/11/2002,"AtléticoMG","Gama",V
13/11/2002,"Bahia","Corinthians",E
13/11/2002,"Coritiba","Figueirense",D
13/11/2002,"Internacional","Cruzeiro",D
13/11/2002,"Juventude","Paysandu",E
13/11/2002,"Palmeiras","Flamengo",E
13/11/2002,"Vasco","PontePreta",V
14/11/2002,"Fluminense","Portuguesa",V
14/11/2002,"Guarani","BotafogoRJ",V
14/11/2002,"Paraná","Grêmio",E
14/11/2002,"SãoPaulo","Vitória",V
17/11/2002,"AtléticoPR","Juventude",V
17/11/2002,"BotafogoRJ","SãoPaulo",D
17/11/2002,"Corinthians","Vasco",E
17/11/2002,"Cruzeiro","Goiás",V
17/11/2002,"Figueirense","Paraná",E
17/11/2002,"Flamengo","Guarani",E
17/11/2002,"Gama","Coritiba",V
17/11/2002,"Grêmio","AtléticoMG",V
17/11/2002,"Paysandu","Internacional",D
17/11/2002,"PontePreta","Fluminense",D
17/11/2002,"Portuguesa","Bahia",D
17/11/2002,"SãoCaetano","Santos",V
17/11/2002,"Vitória","Palmeiras",V
24/11/2002,"Santos","SãoPaulo",V
24/11/2002,"Fluminense","SãoCaetano",V
24/11/2002,"AtléticoMG","Corinthians",D
24/11/2002,"Grêmio","Juventude",E
27/11/2002,"SãoCaetano","Fluminense",V
27/11/2002,"Corinthians","AtléticoMG",V
27/11/2002,"Juventude","Grêmio",D
27/11/2002,"SãoPaulo","Santos",D
01/12/2002,"Santos","Grêmio",V
01/12/2002,"Fluminense","Corinthians",V
04/12/2002,"Grêmio","Santos",V
04/12/2002,"Corinthians","Fluminense",V
08/12/2002,"Santos","Corinthians",V
29/03/2003,"AtléticoPR","Grêmio",V
29/03/2003,"Guarani","Vasco",V
30/03/2003,"Corinthians","AtléticoMG",D
30/03/2003,"Goiás","Paysandu",E
30/03/2003,"Criciúma","Fluminense",V
30/03/2003,"Cruzeiro","SãoCaetano",E
30/03/2003,"Flamengo","Coritiba",E
30/03/2003,"Fortaleza","Bahia",E
30/03/2003,"Internacional","PontePreta",E
30/03/2003,"Juventude","SãoPaulo",E
30/03/2003,"Santos","Paraná",E
30/03/2003,"Vitória","Figueirense",E
05/04/2003,"Fluminense","Fortaleza",E
05/04/2003,"AtléticoMG","Santos",E
05/04/2003,"Grêmio","Guarani",V
05/04/2003,"Coritiba","Internacional",D
06/04/2003,"Bahia","Flamengo",D
06/04/2003,"Vasco","Goiás",V
06/04/2003,"Figueirense","Corinthians",E
06/04/2003,"SãoPaulo","Cruzeiro",D
06/04/2003,"Paysandu","Vitória",D
06/04/2003,"PontePreta","Juventude",V
06/04/2003,"Paraná","AtléticoPR",V
06/04/2003,"SãoCaetano","Criciúma",V
09/04/2003,"Paysandu","Santos",V
12/04/2003,"Internacional","Bahia",V
12/04/2003,"AtléticoPR","AtléticoMG",D
12/04/2003,"Corinthians","Paysandu",V
12/04/2003,"Santos","Figueirense",V
13/04/2003,"Cruzeiro","PontePreta",V
13/04/2003,"Vitória","Vasco",V
13/04/2003,"Flamengo","Fluminense",V
13/04/2003,"Criciúma","SãoPaulo",E
13/04/2003,"Fortaleza","SãoCaetano",E
13/04/2003,"Juventude","Coritiba",V
13/04/2003,"Guarani","Paraná",V
13/04/2003,"Goiás","Grêmio",E
16/04/2003,"SãoCaetano","Flamengo",E
16/04/2003,"Vasco","Corinthians",E
16/04/2003,"Bahia","Juventude",V
16/04/2003,"Grêmio","Vitória",V
16/04/2003,"Coritiba","Cruzeiro",D
16/04/2003,"AtléticoMG","Guarani",V
16/04/2003,"Figueirense","AtléticoPR",E
16/04/2003,"PontePreta","Criciúma",E
17/04/2003,"Fluminense","Internacional",V
17/04/2003,"Paraná","Goiás",V
17/04/2003,"SãoPaulo","Fortaleza",V
19/04/2003,"Flamengo","Santos",D
19/04/2003,"Bahia","AtléticoMG",D
19/04/2003,"SãoCaetano","Grêmio",E
20/04/2003,"SãoPaulo","Vasco",V
20/04/2003,"Fluminense","Paraná",E
20/04/2003,"Cruzeiro","Goiás",V
20/04/2003,"Internacional","Corinthians",V
20/04/2003,"PontePreta","Paysandu",E
20/04/2003,"Fortaleza","AtléticoPR",V
20/04/2003,"Juventude","Vitória",E
20/04/2003,"Criciúma","Guarani",V
21/04/2003,"Coritiba","Figueirense",V
26/04/2003,"AtléticoMG","Coritiba",D
26/04/2003,"Paraná","Bahia",V
26/04/2003,"Guarani","Cruzeiro",E
26/04/2003,"Vitória","Internacional",D
27/04/2003,"Grêmio","Fluminense",D
27/04/2003,"Corinthians","Flamengo",E
