time1,time2,r1c,r1f,r2c,r2f,result
"Corinthians","Vitória",0.666667,0.466667,0.733333,0.2,V
"Grêmio","Juventude",0.666667,0.133333,1,0.466667,V
"BotafogoRJ","Coritiba",0.333333,0.333333,0.8,0.533333,D
"Figueirense","Palmeiras",0.466667,0.466667,0.333333,0,V
"Portuguesa","Cruzeiro",0.6,0.333333,0.666667,0.333333,D
"Santos","Goiás",0.733333,0.266667,0.333333,0.133333,E
"AtléticoMG","Flamengo",0.666667,0.666667,0.533333,0.4,D
"AtléticoPR","SãoPaulo",0.666667,0.4,0.8,0.133333,E
"Corinthians","Paraná",0.666667,0.466667,0.666667,0,V
"Grêmio","Vitória",0.666667,0.133333,0.733333,0.2,V
"Guarani","Juventude",0.4,0.666667,1,0.466667,E
"Paysandu","PontePreta",0.466667,0.2,0.666667,0.0666667,V
"SãoCaetano","Bahia",1,0.2,0.466667,0.266667,V
"Vasco","Internacional",0.266667,0.266667,0.666667,0.466667,E
"Cruzeiro","Vasco",0.8,0.333333,0.266667,0.266667,V
"Fluminense","AtléticoPR",0.666667,0.2,0.666667,0.533333,D
"Internacional","Bahia",0.666667,0.466667,0.466667,0.2,V
"Juventude","Corinthians",0.8,0.466667,0.666667,0.666667,D
"Paraná","Guarani",0.466667,0,0.4,0.8,D
"PontePreta","Figueirense",0.666667,0.0666667,0.466667,0.4,V
"SãoPaulo","AtléticoMG",0.6,0.133333,0.666667,0.8,D
"Vitória","SãoCaetano",0.733333,0.2,1,0.266667,E
"Coritiba","Portuguesa",0.8,0.533333,0.6,0.333333,V
"Flamengo","Grêmio",0.466667,0.4,0.666667,0.333333,D
"Gama","Santos",0.533333,0.266667,0.733333,0.333333,E
"Palmeiras","Paysandu",0.333333,0,0.466667,0.2,V
"AtléticoPR","SãoCaetano",0.466667,0.533333,1,0.466667,D
"Bahia","BotafogoRJ",0.466667,0.2,0.333333,0.466667,D
"Cruzeiro","Juventude",0.8,0.333333,0.8,0.266667,V
"Fluminense","Guarani",0.666667,0.2,0.4,0.6,V
"Internacional","Paraná",0.6,0.466667,0.466667,0.2,D
"Figueirense","Gama",0.6,0.4,0.533333,0.266667,V
"Goiás","Grêmio",0.466667,0.133333,0.666667,0.266667,V
"Paysandu","AtléticoMG",0.666667,0.2,0.666667,0.6,V
"PontePreta","Flamengo",0.8,0.0666667,0.466667,0.2,V
"Santos","Palmeiras",0.6,0.333333,0.333333,0.0666667,E
"SãoPaulo","Corinthians",0.666667,0.133333,0.666667,0.533333,E
"Vasco","Portuguesa",0.466667,0.266667,0.6,0.133333,V
"Flamengo","Bahia",0.533333,0.2,0.466667,0.266667,E
"Gama","Internacional",0.4,0.266667,0.6,0.466667,E
"Grêmio","Paysandu",0.866667,0.266667,0.666667,0,V
"Juventude","Goiás",0.8,0.266667,0.466667,0.0666667,V
"Palmeiras","SãoPaulo",0.4,0.0666667,0.666667,0.133333,E
"BotafogoRJ","PontePreta",0.466667,0.466667,0.8,0.0666667,V
"SãoCaetano","Coritiba",1,0.466667,0.8,0.333333,V
"Vitória","Fluminense",0.733333,0.2,0.666667,0.2,V
"AtléticoMG","Figueirense",0.466667,0.6,0.6,0.6,D
"Corinthians","Santos",0.6,0.533333,0.6,0.466667,D
"Paraná","Cruzeiro",0.533333,0.2,0.8,0.4,E
"BotafogoRJ","SãoCaetano",0.333333,0.466667,1,0.333333,E
"Flamengo","SãoPaulo",0.466667,0.2,0.666667,0.333333,D
"Gama","Paysandu",0.4,0.266667,0.666667,0,V
"Goiás","AtléticoPR",0.533333,0.0666667,0.466667,0.4,E
"Guarani","Vasco",0.4,0.6,0.466667,0.266667,D
"Palmeiras","Portuguesa",0.533333,0.0666667,0.6,0.0666667,V
"Fluminense","Paraná",0.666667,0.2,0.533333,0.2,V
"Guarani","Gama",0.533333,0.6,0.4,0.266667,V
"SãoPaulo","Coritiba",0.666667,0.333333,0.8,0.266667,V
"Grêmio","BotafogoRJ",0.866667,0.266667,0.333333,0.333333,E
"AtléticoPR","PontePreta",0.266667,0.4,0.8,0.266667,D
"Corinthians","Figueirense",0.666667,0.533333,0.6,0.466667,E
"Flamengo","SãoCaetano",0.466667,0.2,1,0.333333,V
"Goiás","Palmeiras",0.733333,0.0666667,0.533333,0.0666667,V
"Juventude","Portuguesa",0.666667,0.266667,0.6,0.0666667,E
"Paysandu","Bahia",0.866667,0,0.466667,0.266667,V
"Santos","AtléticoMG",0.6,0.466667,0.466667,0.4,V
"Vitória","Cruzeiro",0.733333,0.2,0.8,0.333333,V
"Figueirense","SãoPaulo",0.6,0.466667,0.666667,0.533333,D
"Palmeiras","Juventude",0.533333,0.0666667,0.666667,0.333333,E
"Paraná","Vitória",0.533333,0.2,0.733333,0.2,V
"SãoCaetano","Vasco",1,0.333333,0.466667,0.266667,V
"Bahia","AtléticoMG",0.666667,0.266667,0.466667,0.2,V
"BotafogoRJ","Paysandu",0.533333,0.333333,0.866667,0,V
"Coritiba","Guarani",0.8,0.266667,0.533333,0.6,D
"Cruzeiro","Santos",0.6,0.333333,0.6,0.666667,D
"Gama","Corinthians",0.333333,0.266667,0.666667,0.533333,D
"Internacional","Fluminense",0.466667,0.466667,0.666667,0.266667,E
"PontePreta","Goiás",1,0.266667,0.733333,0.0666667,V
"Portuguesa","AtléticoPR",0.466667,0.0666667,0.266667,0.4,E
"Bahia","PontePreta",0.666667,0.266667,1,0.2,V
"Coritiba","Grêmio",0.666667,0.266667,0.866667,0.333333,E
"Figueirense","AtléticoPR",0.8,0.466667,0.266667,0.4,V
"Gama","Juventude",0.533333,0.266667,0.666667,0.133333,V
"Internacional","Goiás",0.266667,0.466667,0.733333,0.266667,D
"Paysandu","Paraná",0.866667,0,0.533333,0.2,V
"SãoPaulo","Santos",0.666667,0.533333,0.6,0.666667,V
"Vasco","Flamengo",0.666667,0.266667,0.466667,0.2,V
"AtléticoMG","SãoCaetano",0.6,0.2,1,0.333333,V
"BotafogoRJ","Vitória",0.466667,0.333333,0.733333,0.4,D
"Palmeiras","Guarani",0.733333,0.0666667,0.533333,0.6,V
"Grêmio","Gama",0.866667,0.333333,0.533333,0.2,V
"Santos","Portuguesa",0.533333,0.666667,0.466667,0.266667,D
"Vasco","Paraná",0.666667,0.266667,0.533333,0.2,V
"AtléticoPR","Internacional",0.0666667,0.4,0.266667,0.6,D
"Corinthians","PontePreta",0.666667,0.533333,1,0.2,V
"Cruzeiro","AtléticoMG",0.6,0.333333,0.6,0.4,D
"Fluminense","Bahia",0.8,0.266667,0.666667,0.0666667,V
