time1,time2,result
"Paraná","Flamengo",V
"Palmeiras","Vitória",E
"AtléticoMG","PontePreta",D
"Criciúma","Botafogo",V
"Goiás","Grêmio",V
"Internacional","Paysandu",V
"AtléticoPR","Coritiba",E
"Corinthians","Palmeiras",D
"Flamengo","SãoCaetano",E
"Fluminense","Vasco",V
"Guarani","SãoPaulo",D
"Juventude","Paraná",V
"Santos","Cruzeiro",D
"Vitória","Figueirense",V
"Guarani","AtléticoPR",E
"Palmeiras","PontePreta",V
"Paraná","Cruzeiro",V
"Vasco","Grêmio",E
"Santos","Juventude",V
"SãoCaetano","Criciúma",V
"AtléticoMG","Corinthians",E
"Botafogo","Paysandu",E
"Coritiba","SãoPaulo",D
"Goiás","Figueirense",V
"Internacional","Fluminense",E
"Vitória","Flamengo",V
"AtléticoPR","Santos",V
"Paysandu","Vasco",D
"Corinthians","Guarani",V
"Fluminense","Vitória",V
"Criciúma","Goiás",V
"Cruzeiro","Palmeiras",V
"Figueirense","SãoCaetano",V
"Flamengo","Internacional",D
"Grêmio","Botafogo",E
"Juventude","AtléticoMG",E
"PontePreta","Coritiba",E
"SãoPaulo","Paraná",E
"Botafogo","Figueirense",E
"Coritiba","AtléticoMG",D
"Internacional","Goiás",V
"Paysandu","Grêmio",D
"Corinthians","AtléticoPR",D
"Criciúma","Vitória",V
"Cruzeiro","SãoPaulo",V
"Flamengo","Fluminense",D
"Juventude","Guarani",V
"Paraná","PontePreta",D
"Santos","Palmeiras",D
"SãoCaetano","Vasco",V
"Fluminense","Criciúma",E
"Palmeiras","Coritiba",V
"PontePreta","Juventude",D
"Vitória","Internacional",V
"Figueirense","Paysandu",E
"AtléticoMG","Santos",E
"AtléticoPR","Cruzeiro",V
"Goiás","Flamengo",E
"Grêmio","SãoCaetano",D
"Guarani","Paraná",V
"SãoPaulo","Corinthians",E
"Vasco","Botafogo",V
"Fluminense","Guarani",E
"Internacional","AtléticoMG",V
"Paraná","Botafogo",E
"SãoPaulo","Grêmio",V
"Coritiba","SãoCaetano",V
"Criciúma","Juventude",V
"Cruzeiro","Paysandu",V
"Flamengo","AtléticoPR",V
"Goiás","Corinthians",E
"Palmeiras","Vasco",E
"PontePreta","Figueirense",D
"Vitória","Santos",D
"AtléticoPR","Vitória",D
"Figueirense","Cruzeiro",E
"Grêmio","Coritiba",E
"Vasco","Paraná",E
"AtléticoMG","Fluminense",V
"Botafogo","PontePreta",D
"Corinthians","Flamengo",E
"Guarani","Criciúma",V
"Juventude","Goiás",E
"Paysandu","SãoPaulo",V
"Santos","Internacional",V
"SãoCaetano","Palmeiras",E
"SãoCaetano","Juventude",V
"Santos","Guarani",V
"Coritiba","Paraná",E
"Criciúma","Grêmio",D
"Flamengo","Figueirense",D
"AtléticoMG","AtléticoPR",D
"Botafogo","Fluminense",E
"Goiás","SãoCaetano",V
"Internacional","Vasco",D
"Juventude","Corinthians",V
"Palmeiras","SãoPaulo",V
"Paysandu","Vitória",V
"PontePreta","Cruzeiro",V
"AtléticoPR","Juventude",V
"Figueirense","Vasco",E
"Fluminense","Grêmio",V
"Guarani","AtléticoMG",E
"Internacional","Criciúma",V
"SãoPaulo","PontePreta",V
"Vitória","Goiás",E
"Corinthians","Santos",D
"Cruzeiro","Coritiba",D
"Flamengo","Paysandu",V
"Paraná","Palmeiras",D
"SãoCaetano","Botafogo",D
"Goiás","Fluminense",V
"Grêmio","Figueirense",E
"SãoPaulo","AtléticoMG",V
"Vasco","Vitória",V
"Botafogo","Internacional",V
"Coritiba","Corinthians",D
"Criciúma","Flamengo",E
"Cruzeiro","Guarani",V
"Palmeiras","Juventude",V
"Paraná","AtléticoPR",V
"Paysandu","SãoCaetano",E
"PontePreta","Santos",D
"AtléticoMG","Cruzeiro",V
"AtléticoPR","Palmeiras",E
"Corinthians","Paraná",V
"Figueirense","Criciúma",V
"Flamengo","Vasco",D
"Fluminense","SãoCaetano",V
"Goiás","Paysandu",V
"Internacional","Grêmio",V
"Juventude","Coritiba",V
"PontePreta","Guarani",V
"Santos","SãoPaulo",V
"Vitória","Botafogo",V
"AtléticoMG","Vitória",E
"AtléticoPR","Goiás",V
"Botafogo","Palmeiras",E
"Corinthians","Criciúma",V
"Figueirense","Paraná",E
"Grêmio","Cruzeiro",D
"Guarani","Internacional",V
"Juventude","Fluminense",V
"Paysandu","PontePreta",V
"Santos","Flamengo",V
"SãoCaetano","SãoPaulo",E
"Vasco","Coritiba",D
"Coritiba","Paysandu",E
"Criciúma","AtléticoMG",V
"Cruzeiro","Botafogo",V
"Flamengo","Juventude",D
"Fluminense","Santos",V
"Goiás","Guarani",V
"Internacional","AtléticoPR",V
"Palmeiras","Grêmio",V
"Paraná","SãoCaetano",D
"PontePreta","Vasco",V
"SãoPaulo","Figueirense",V
"Vitória","Corinthians",E
"Paysandu","Palmeiras",V
"AtléticoMG","Goiás",D
"Guarani","Flamengo",D
"Grêmio","Paraná",V
"Vasco","Cruzeiro",V
"Corinthians","Internacional",E
"Figueirense","Coritiba",E
"SãoCaetano","PontePreta",D
"Juventude","Vitória",V
"Santos","Criciúma",V
"AtléticoPR","Fluminense",V
"Botafogo","SãoPaulo",V
"Coritiba","Botafogo",V
"Criciúma","AtléticoPR",V
"Cruzeiro","SãoCaetano",D
"Flamengo","AtléticoMG",E
"Fluminense","Corinthians",V
"Goiás","Santos",E
"Internacional","Juventude",D
"Palmeiras","Figueirense",E
"Paraná","Paysandu",V
"PontePreta","Grêmio",V
"SãoPaulo","Vasco",V
"Vitória","Guarani",V
"AtléticoPR","PontePreta",V
"Botafogo","Flamengo",E
"Corinthians","Cruzeiro",V
"Figueirense","Fluminense",V
"Grêmio","Vitória",V
"Guarani","Palmeiras",V
"Juventude","SãoPaulo",D
"Paysandu","Criciúma",E
"AtléticoMG","Paraná",V
"Santos","Coritiba",V
"SãoCaetano","Internacional",V
"Vasco","Goiás",V
"AtléticoPR","Grêmio",E
"Fluminense","Cruzeiro",E
"AtléticoMG","Figueirense",V
"Corinthians","SãoCaetano",V
"Criciúma","PontePreta",V
"Flamengo","Palmeiras",D
"Goiás","Paraná",V
"Guarani","Botafogo",D
"Internacional","SãoPaulo",E
"Juventude","Vasco",E
"Santos","Paysandu",V
"Vitória","Coritiba",E
"Coritiba","Flamengo",V
"Figueirense","Guarani",E
"Grêmio","Santos",V
"Palmeiras","Goiás",D
"Paraná","Criciúma",D
"Paysandu","AtléticoMG",V
"PontePreta","Fluminense",V
"SãoCaetano","AtléticoPR",D
"Vasco","Corinthians",D
"Botafogo","Juventude",D
"Cruzeiro","Internacional",V
"SãoPaulo","Vitória",V
"AtléticoMG","Grêmio",V
"Fluminense","Paraná",V
"Goiás","Coritiba",D
"Santos","SãoCaetano",D
"AtléticoPR","Vasco",V
"Corinthians","Botafogo",E
"Criciúma","Palmeiras",D
"Flamengo","SãoPaulo",V
"Guarani","Paysandu",E
"Internacional","PontePreta",D
"Juventude","Figueirense",E
"Vitória","Cruzeiro",V
"Cruzeiro","Flamengo",V
"Figueirense","Corinthians",D
"Grêmio","Guarani",E
"Paraná","Internacional",D
"Paysandu","Juventude",D
"PontePreta","Vitória",V
"SãoPaulo","Goiás",V
"Vasco","Santos",D
"Botafogo","AtléticoPR",E
"Coritiba","Criciúma",V
"Palmeiras","Fluminense",V
"SãoCaetano","AtléticoMG",E
"Corinthians","PontePreta",V
"Flamengo","Grêmio",V
"Internacional","Figueirense",V
"Juventude","Cruzeiro",V
"AtléticoMG","Palmeiras",D
"AtléticoPR","SãoPaulo",V
"Criciúma","Vasco",V
"Fluminense","Paysandu",E
"Goiás","Botafogo",V
"Guarani","Coritiba",E
"Santos","Paraná",V
"Vitória","SãoCaetano",D
"Botafogo","Santos",V
"Cruzeiro","Goiás",D
"Figueirense","AtléticoPR",E
"Grêmio","Juventude",D
"Palmeiras","Internacional",V
"Paraná","Vitória",V
"Paysandu","Corinthians",V
"PontePreta","Flamengo",V
"SãoCaetano","Guarani",V
"Coritiba","Fluminense",V
"SãoPaulo","Criciúma",V
"Vasco","AtléticoMG",V
"Corinthians","Grêmio",E
"Flamengo","Paraná",V
"Santos","Figueirense",V
"AtléticoMG","Botafogo",E
"AtléticoPR","Paysandu",V
"Criciúma","Cruzeiro",D
"Fluminense","SãoPaulo",V
"Goiás","PontePreta",V
"Guarani","Vasco",E
"Internacional","Coritiba",E
"Juventude","SãoCaetano",E
"Vitória","Palmeiras",E
"Botafogo","Criciúma",E
"Grêmio","Goiás",E
"Paraná","Juventude",D
"Paysandu","Internacional",V
"SãoPaulo","Guarani",E
"Coritiba","AtléticoPR",D
"Cruzeiro","Santos",E
"Figueirense","Vitória",V
"Palmeiras","Corinthians",D
"PontePreta","AtléticoMG",E
"SãoCaetano","Flamengo",D
"Vasco","Fluminense",E
"Criciúma","SãoCaetano",D
"Figueirense","Goiás",V
"Fluminense","Internacional",V
"Juventude","Santos",D
"PontePreta","Palmeiras",E
"SãoPaulo","Coritiba",D
"Corinthians","AtléticoMG",V
"Cruzeiro","Paraná",D
"Paysandu","Botafogo",V
"Grêmio","Vasco",D
"AtléticoPR","Guarani",V
"Flamengo","Vitória",V
"Palmeiras","Cruzeiro",D
"Vasco","Paysandu",D
"AtléticoMG","Juventude",E
"Goiás","Criciúma",V
"Guarani","Corinthians",D
"Internacional","Flamengo",E
"Paraná","SãoPaulo",D
"Santos","AtléticoPR",E
"SãoCaetano","Figueirense",V
"Botafogo","Grêmio",V
"Coritiba","PontePreta",V
"Vitória","Fluminense",D
"Goiás","Internacional",V
"Guarani","Juventude",V
"SãoPaulo","Cruzeiro",E
"Vasco","SãoCaetano",D
"AtléticoMG","Coritiba",V
"AtléticoPR","Corinthians",V
"Figueirense","Botafogo",V
"Fluminense","Flamengo",V
"Grêmio","Paysandu",E
"Palmeiras","Santos",D
"PontePreta","Paraná",D
"Vitória","Criciúma",V
"Criciúma","Fluminense",D
"Paraná","Guarani",E
"Santos","AtléticoMG",V
"SãoCaetano","Grêmio",V
"Botafogo","Vasco",E
"Corinthians","SãoPaulo",E
"Coritiba","Palmeiras",E
"Cruzeiro","AtléticoPR",D
"Flamengo","Goiás",V
"Internacional","Vitória",V
"Juventude","PontePreta",D
"Paysandu","Figueirense",V
"Figueirense","PontePreta",D
"AtléticoMG","Internacional",E
"Grêmio","SãoPaulo",V
"Guarani","Fluminense",E
"Paysandu","Cruzeiro",V
"SãoCaetano","Coritiba",V
"AtléticoPR","Flamengo",V
"Botafogo","Paraná",V
"Corinthians","Goiás",V
"Juventude","Criciúma",V
"Santos","Vitória",V
"Vasco","Palmeiras",D
"Coritiba","Grêmio",V
"Cruzeiro","Figueirense",E
"Fluminense","AtléticoMG",E
"SãoPaulo","Paysandu",V
"Criciúma","Guarani",E
"Flamengo","Corinthians",E
"Goiás","Juventude",D
"Internacional","Santos",V
"Palmeiras","SãoCaetano",V
"Paraná","Vasco",V
"PontePreta","Botafogo",E
"Vitória","AtléticoPR",D
"AtléticoPR","AtléticoMG",V
"Corinthians","Juventude",D
"Cruzeiro","PontePreta",V
"Figueirense","Flamengo",V
"Fluminense","Botafogo",D
"Grêmio","Criciúma",V
"Guarani","Santos",D
"Paraná","Coritiba",V
"SãoCaetano","Goiás",V
"SãoPaulo","Palmeiras",V
"Vasco","Internacional",V
"Vitória","Paysandu",V
"Coritiba","Cruzeiro",E
"Criciúma","Internacional",V
"Goiás","Vitória",V
"Grêmio","Fluminense",D
"PontePreta","SãoPaulo",D
"Santos","Corinthians",E
"Vasco","Figueirense",V
"AtléticoMG","Guarani",V
"Botafogo","SãoCaetano",E
"Juventude","AtléticoPR",E
"Palmeiras","Paraná",E
"Paysandu","Flamengo",E
"Corinthians","Coritiba",E
"Figueirense","Grêmio",V
"Vitória","Vasco",V
"Santos","PontePreta",V
"Fluminense","Goiás",D
"AtléticoMG","SãoPaulo",D
"AtléticoPR","Paraná",E
"Flamengo","Criciúma",V
"Guarani","Cruzeiro",V
"Internacional","Botafogo",V
"Juventude","Palmeiras",D
"SãoCaetano","Paysandu",V
"Botafogo","Vitória",E
"Coritiba","Juventude",D
"Cruzeiro","AtléticoMG",D
"Grêmio","Internacional",D
"Palmeiras","AtléticoPR",V
"Paysandu","Goiás",V
"Criciúma","Figueirense",V
"Guarani","PontePreta",E
"Paraná","Corinthians",D
"SãoCaetano","Fluminense",V
"SãoPaulo","Santos",V
"Vasco","Flamengo",V
"Cruzeiro","Grêmio",V
"Goiás","AtléticoPR",V
"Palmeiras","Botafogo",V
"Vitória","AtléticoMG",V
"Coritiba","Vasco",D
"Criciúma","Corinthians",E
"Flamengo","Santos",E
"Fluminense","Juventude",V
"Internacional","Guarani",D
"Paraná","Figueirense",V
"PontePreta","Paysandu",V
"AtléticoMG","Criciúma",E
"AtléticoPR","Internacional",V
"Botafogo","Cruzeiro",V
"Corinthians","Vitória",V
"Figueirense","SãoPaulo",V
"Grêmio","Palmeiras",D
"Guarani","Goiás",E
"Juventude","Flamengo",V
"Paysandu","Coritiba",E
"Santos","Fluminense",V
"Vasco","PontePreta",E
"SãoPaulo","SãoCaetano",V
"Flamengo","Guarani",V
"Goiás","AtléticoMG",V
"Palmeiras","Paysandu",V
"Paraná","Grêmio",V
"Coritiba","Figueirense",V
"Criciúma","Santos",E
"Cruzeiro","Vasco",V
"Fluminense","AtléticoPR",D
"Internacional","Corinthians",V
"PontePreta","SãoCaetano",D
"SãoPaulo","Botafogo",V
"Vitória","Juventude",E
"SãoCaetano","Paraná",V
"Botafogo","Coritiba",V
"SãoCaetano","Cruzeiro",V
"Grêmio","PontePreta",V
"Corinthians","Fluminense",E
"AtléticoMG","Flamengo",V
"AtléticoPR","Criciúma",V
"Figueirense","Palmeiras",D
"Guarani","Vitória",E
"Juventude","Internacional",D
"Paysandu","Paraná",E
"Santos","Goiás",V
"Vasco","SãoPaulo",E
"Fluminense","Figueirense",D
"Palmeiras","Guarani",D
"Paraná","AtléticoMG",V
"Vitória","Grêmio",V
"Coritiba","Santos",D
"Criciúma","Paysandu",V
"Cruzeiro","Corinthians",D
"Flamengo","Botafogo",E
"Goiás","Vasco",V
"Internacional","SãoCaetano",V
"PontePreta","AtléticoPR",D
"SãoPaulo","Juventude",V
"Botafogo","Guarani",V
"Cruzeiro","Fluminense",D
"Figueirense","AtléticoMG",V
"Paraná","Goiás",V
"SãoPaulo","Internacional",V
"Coritiba","Vitória",V
"Grêmio","AtléticoPR",E
"Palmeiras","Flamengo",D
"Paysandu","Santos",E
"PontePreta","Criciúma",V
"SãoCaetano","Corinthians",V
"Vasco","Juventude",E
"Criciúma","Paraná",D
"Fluminense","PontePreta",V
"Goiás","Palmeiras",E
"Guarani","Figueirense",V
"AtléticoMG","Paysandu",E
"Corinthians","Vasco",V
"Internacional","Cruzeiro",V
"Flamengo","Coritiba",E
"Vitória","SãoPaulo",D
"Santos","Grêmio",V
"AtléticoPR","SãoCaetano",V
"Juventude","Botafogo",V
"Grêmio","AtléticoMG",D
"Paysandu","Guarani",V
"Palmeiras","Criciúma",V
"Paraná","Fluminense",D
"Figueirense","Juventude",V
"Vasco","AtléticoPR",V
"Botafogo","Corinthians",D
"SãoCaetano","Santos",D
"PontePreta","Internacional",D
"Cruzeiro","Vitória",V
"SãoPaulo","Flamengo",E
"Coritiba","Goiás",V
"Criciúma","Coritiba",E
"Internacional","Paraná",V
"Flamengo","Cruzeiro",V
"Fluminense","Palmeiras",E
"Vitória","PontePreta",D
"Goiás","SãoPaulo",V
"Guarani","Grêmio",V
"AtléticoMG","SãoCaetano",V
"Santos","Vasco",V
"AtléticoPR","Botafogo",E
"Corinthians","Figueirense",V
"SãoCaetano","Palmeiras",E
"Paraná","Goiás",D
"Flamengo","Cruzeiro",E
"AtléticoMG","Figueirense",V
"Corinthians","Juventude",E
"Santos","Paysandu",V
"AtléticoPR","PontePreta",D
"Internacional","Botafogo",D
"Fortaleza","Coritiba",D
"Fluminense","SãoPaulo",V
"Brasiliense","Vasco",E
"SãoPaulo","Paraná",E
"PontePreta","AtléticoMG",E
"Palmeiras","Brasiliense",V
"Vasco","Fortaleza",E
"Goiás","SãoCaetano",E
"Coritiba","Santos",D
"Juventude","AtléticoPR",V
"Figueirense","Flamengo",D
"Paysandu","Fluminense",D
"Botafogo","Corinthians",V
"Cruzeiro","Internacional",V
"Santos","AtléticoPR",V
"Goiás","Figueirense",E
"Paraná","Juventude",E
"PontePreta","Paysandu",V
"Corinthians","SãoPaulo",D
"Coritiba","Palmeiras",V
"SãoCaetano","Fortaleza",V
"AtléticoMG","Brasiliense",D
"Internacional","Flamengo",V
"Vasco","Botafogo",D
"Fluminense","Cruzeiro",V
"SãoPaulo","Coritiba",V
"Fortaleza","PontePreta",V
"Figueirense","Internacional",D
"Botafogo","AtléticoMG",V
"AtléticoPR","Corinthians",D
"Juventude","Vasco",V
"Paysandu","SãoCaetano",V
"Flamengo","Santos",V
"Cruzeiro","Goiás",V
"Palmeiras","Paraná",D
"Brasiliense","Fluminense",D
"Juventude","Paysandu",V
"Paraná","PontePreta",E
"Fortaleza","Brasiliense",V
"Fluminense","Coritiba",D
"Goiás","Botafogo",V
"Corinthians","Figueirense",V
"SãoCaetano","Flamengo",V
"Santos","AtléticoMG",V
"AtléticoPR","Internacional",D
"Vasco","SãoPaulo",V
"Cruzeiro","Palmeiras",V
"SãoPaulo","Cruzeiro",E
"Paysandu","Goiás",V
"Figueirense","SãoCaetano",V
"Coritiba","Juventude",D
"AtléticoMG","Corinthians",D
"Internacional","Fortaleza",V
"PontePreta","Vasco",V
"Flamengo","Fluminense",E
"Botafogo","AtléticoPR",V
"Palmeiras","Santos",V
"Brasiliense","Paraná",V
"SãoCaetano","Brasiliense",V
"AtléticoPR","Figueirense",E
"Paraná","Fortaleza",V
"Cruzeiro","PontePreta",D
"Botafogo","Juventude",V
"Goiás","Palmeiras",V
"Corinthians","Flamengo",V
"Santos","Fluminense",E
"Internacional","AtléticoMG",E
"Paysandu","SãoPaulo",E
"Vasco","Coritiba",E
"AtléticoMG","SãoCaetano",D
"Figueirense","Paysandu",E
"Palmeiras","Vasco",V
"Brasiliense","Corinthians",D
"PontePreta","Goiás",V
"Flamengo","AtléticoPR",E
"Coritiba","Paraná",V
"SãoPaulo","Botafogo",V
"Juventude","Cruzeiro",E
"Fortaleza","Santos",E
"Fluminense","Internacional",V
"SãoPaulo","Internacional",D
"Juventude","PontePreta",D
"Paraná","AtléticoMG",V
"Flamengo","Brasiliense",D
"Corinthians","Fluminense",D
"SãoCaetano","Santos",D
"AtléticoPR","Fortaleza",E
"Paysandu","Palmeiras",V
"Botafogo","Figueirense",D
"Cruzeiro","Vasco",E
"Goiás","Coritiba",V
"Coritiba","Paysandu",V
"PontePreta","SãoPaulo",V
"Vasco","Goiás",D
"Fluminense","Paraná",D
"Santos","Juventude",E
"AtléticoMG","Flamengo",V
"Internacional","SãoCaetano",V
"Figueirense","Cruzeiro",E
"Fortaleza","Corinthians",V
"Palmeiras","Botafogo",V
"Brasiliense","AtléticoPR",V
"SãoCaetano","PontePreta",V
"SãoPaulo","Flamengo",V
"Juventude","Brasiliense",V
"Paraná","Figueirense",V
"Paysandu","Fortaleza",D
"Corinthians","Palmeiras",V
"AtléticoPR","Coritiba",V
"Vasco","Internacional",D
"Botafogo","Fluminense",D
"Cruzeiro","AtléticoMG",V
"Goiás","Santos",D
"PontePreta","Figueirense",V
"Paysandu","Cruzeiro",D
"Goiás","Brasiliense",D
"Paraná","Corinthians",D
"Fluminense","SãoCaetano",D
"Coritiba","Botafogo",D
"Santos","SãoPaulo",V
"AtléticoMG","AtléticoPR",D
"Internacional","Juventude",V
"Flamengo","Vasco",V
"Palmeiras","Fortaleza",D
"SãoCaetano","Paraná",E
"Santos","Vasco",D
"AtléticoPR","Fluminense",V
"Internacional","Goiás",D
"Figueirense","Palmeiras",D
"Fortaleza","AtléticoMG",D
"Botafogo","PontePreta",V
"Brasiliense","SãoPaulo",E
"Corinthians","Paysandu",V
"Cruzeiro","Coritiba",E
"Flamengo","Juventude",D
"SãoPaulo","SãoCaetano",D
"Paraná","AtléticoPR",V
"Goiás","Fortaleza",V
"Botafogo","Brasiliense",E
"Coritiba","Flamengo",V
"Juventude","Figueirense",D
"PontePreta","Fluminense",V
"Paysandu","Internacional",D
"Vasco","Corinthians",D
"Cruzeiro","Santos",V
"Palmeiras","AtléticoMG",V
"Corinthians","Cruzeiro",V
"SãoCaetano","Botafogo",D
"Santos","PontePreta",D
"AtléticoMG","SãoPaulo",E
"AtléticoPR","Vasco",V
"Fortaleza","Juventude",V
"Fluminense","Goiás",E
"Internacional","Paraná",D
"Figueirense","Coritiba",E
"Flamengo","Palmeiras",E
"Brasiliense","Paysandu",E
"Vasco","SãoCaetano",V
"Cruzeiro","Fortaleza",V
"Goiás","AtléticoMG",V
"Coritiba","Brasiliense",E
"Santos","Corinthians",V
"Juventude","SãoPaulo",V
"Figueirense","Fluminense",E
"PontePreta","Internacional",E
"Paysandu","Paraná",D
"Botafogo","Flamengo",D
"Palmeiras","AtléticoPR",E
"Corinthians","Coritiba",V
"SãoCaetano","Juventude",E
"AtléticoMG","Paysandu",E
"AtléticoPR","Goiás",V
"Internacional","Santos",D
"Paraná","Botafogo",V
"Flamengo","PontePreta",V
"Brasiliense","Cruzeiro",D
"SãoPaulo","Palmeiras",E
"Fortaleza","Figueirense",V
"Fluminense","Vasco",V
"Corinthians","SãoCaetano",D
"AtléticoPR","Cruzeiro",V
"Botafogo","Paysandu",V
"SãoPaulo","Goiás",D
"AtléticoMG","Fluminense",D
"Juventude","Palmeiras",D
"Paraná","Santos",E
"PontePreta","Coritiba",D
"Fortaleza","Flamengo",V
"Vasco","Figueirense",V
"Brasiliense","Internacional",E
"Coritiba","AtléticoMG",V
"SãoCaetano","AtléticoPR",V
"Internacional","Corinthians",E
"Figueirense","SãoPaulo",V
"Paysandu","Vasco",D
"Cruzeiro","Botafogo",V
"Palmeiras","PontePreta",V
"Santos","Brasiliense",E
"Fluminense","Fortaleza",V
"Flamengo","Paraná",E
"Goiás","Juventude",V
"Coritiba","SãoCaetano",E
"Palmeiras","Internacional",V
"Paysandu","AtléticoPR",V
"SãoPaulo","Fortaleza",V
"Juventude","Fluminense",V
"Figueirense","Brasiliense",E
"PontePreta","Corinthians",D
"Vasco","AtléticoMG",V
"Botafogo","Santos",E
"Cruzeiro","Paraná",D
"Goiás","Flamengo",V
"SãoCaetano","Cruzeiro",D
"AtléticoMG","Juventude",V
"AtléticoPR","SãoPaulo",V
"Corinthians","Goiás",E
"Santos","Figueirense",V
"Internacional","Coritiba",V
"Paraná","Vasco",E
"Fortaleza","Botafogo",V
"Flamengo","Paysandu",V
"Fluminense","Palmeiras",E
"Brasiliense","PontePreta",V
"SãoPaulo","Fluminense",E
"Juventude","Corinthians",V
"PontePreta","AtléticoPR",D
"Paysandu","Santos",D
"Vasco","Brasiliense",V
"Cruzeiro","Flamengo",E
"Palmeiras","SãoCaetano",V
"Goiás","Paraná",E
"Coritiba","Fortaleza",V
"Figueirense","AtléticoMG",D
"Botafogo","Internacional",D
"SãoCaetano","Goiás",D
"AtléticoPR","Juventude",E
"Brasiliense","Palmeiras",V
"Corinthians","Botafogo",E
"Santos","Coritiba",V
"AtléticoMG","PontePreta",V
"Internacional","Cruzeiro",V
"Paraná","SãoPaulo",D
"Fortaleza","Vasco",V
"Flamengo","Figueirense",E
"Fluminense","Paysandu",V
"AtléticoPR","Santos",E
"Botafogo","Vasco",E
"Brasiliense","AtléticoMG",D
"Cruzeiro","Fluminense",D
"Figueirense","Goiás",V
"Fortaleza","SãoCaetano",V
"Juventude","Paraná",V
"Paysandu","PontePreta",E
"SãoPaulo","Corinthians",V
"Flamengo","Internacional",E
"Palmeiras","Coritiba",E
"SãoCaetano","Paysandu",D
"Fluminense","Brasiliense",V
"Goiás","Cruzeiro",V
"AtléticoMG","Botafogo",D
"Corinthians","AtléticoPR",V
"Coritiba","SãoPaulo",D
"Internacional","Figueirense",V
"Paraná","Palmeiras",D
"PontePreta","Fortaleza",V
"Santos","Flamengo",E
"Vasco","Juventude",V
"Flamengo","SãoCaetano",V
"Palmeiras","Cruzeiro",V
"Paysandu","Juventude",V
"PontePreta","Paraná",V
"AtléticoMG","Santos",V
"Botafogo","Goiás",V
"Brasiliense","Fortaleza",D
"Coritiba","Fluminense",E
"Figueirense","Corinthians",D
"Internacional","AtléticoPR",V
"SãoPaulo","Vasco",V
"Cruzeiro","SãoPaulo",D
"Fluminense","Flamengo",E
"Fortaleza","Internacional",D
"Goiás","Paysandu",V
"Paraná","Brasiliense",V
"Santos","Palmeiras",V
"SãoCaetano","Figueirense",D
"AtléticoPR","Botafogo",V
"Corinthians","AtléticoMG",E
"Juventude","Coritiba",E
"Vasco","PontePreta",E
"Fortaleza","Paraná",E
"Brasiliense","SãoCaetano",E
"SãoPaulo","Paysandu",V
"AtléticoMG","Internacional",E
"Coritiba","Vasco",V
"Figueirense","AtléticoPR",V
"Flamengo","Corinthians",D
"Fluminense","Santos",V
"Juventude","Botafogo",E
"Palmeiras","Goiás",V
"PontePreta","Cruzeiro",D
"Cruzeiro","Juventude",V
"Goiás","PontePreta",V
"Paraná","Coritiba",V
"Paysandu","Figueirense",V
"Santos","Fortaleza",E
"SãoCaetano","AtléticoMG",V
"AtléticoPR","Flamengo",V
"Botafogo","SãoPaulo",E
"Corinthians","Brasiliense",V
"Internacional","Fluminense",E
"Vasco","Palmeiras",E
"AtléticoMG","Paraná",D
"Coritiba","Goiás",D
"PontePreta","Juventude",V
"Santos","SãoCaetano",V
"Brasiliense","Flamengo",D
"Figueirense","Botafogo",V
"Fluminense","Corinthians",D
"Fortaleza","AtléticoPR",D
"Internacional","SãoPaulo",V
"Palmeiras","Paysandu",V
"Vasco","Cruzeiro",E
"Botafogo","Palmeiras",D
"Corinthians","Fortaleza",V
"Cruzeiro","Figueirense",V
"Goiás","Vasco",V
"Juventude","Santos",V
"Paraná","Fluminense",V
"AtléticoPR","Brasiliense",V
"Flamengo","AtléticoMG",D
"Paysandu","Coritiba",V
"SãoCaetano","Internacional",E
"SãoPaulo","PontePreta",V
"Cruzeiro","Botafogo",E
"Juventude","Fluminense",D
"Vasco","Figueirense",E
"Santos","Corinthians",D
"Brasiliense","Juventude",V
"Coritiba","AtléticoPR",D
"Figueirense","Paraná",V
"Fluminense","Botafogo",V
"Fortaleza","Paysandu",D
"AtléticoMG","Cruzeiro",D
"Flamengo","SãoPaulo",D
"Internacional","Vasco",V
"Palmeiras","Corinthians",E
"PontePreta","SãoCaetano",D
"Santos","Goiás",E
"Juventude","Figueirense",E
"Paysandu","Cruzeiro",V
"PontePreta","SãoPaulo",V
"Vasco","Botafogo",V
"Brasiliense","Goiás",D
"SãoCaetano","Fluminense",E
"AtléticoPR","AtléticoMG",V
"Botafogo","Coritiba",V
"Corinthians","Paraná",V
"Cruzeiro","Paysandu",V
"Figueirense","PontePreta",V
"Fortaleza","Palmeiras",E
"Juventude","Internacional",V
"SãoPaulo","Santos",D
"Vasco","Flamengo",V
"Fluminense","Brasiliense",E
"SãoPaulo","Corinthians",E
"Coritiba","Cruzeiro",D
"Goiás","Internacional",D
"AtléticoMG","Fortaleza",D
"Juventude","Flamengo",E
"Palmeiras","Figueirense",E
"Vasco","Santos",D
"Fluminense","AtléticoPR",V
"Paysandu","Corinthians",D
"PontePreta","Botafogo",D
"SãoPaulo","Brasiliense",D
"Internacional","Coritiba",V
"Paraná","SãoCaetano",D
"Figueirense","Juventude",V
"Fortaleza","Goiás",E
"AtléticoMG","Palmeiras",D
"AtléticoPR","Paraná",V
"Brasiliense","Botafogo",E
"Corinthians","Vasco",E
"Fluminense","PontePreta",V
"Santos","Cruzeiro",D
"SãoCaetano","SãoPaulo",D
