time1,time2,result
"Cruzeiro","Paysandu",V
"Guarani","Corinthians",E
"Juventude","AtléticoMG",V
"SãoCaetano","Gama",V
"SãoPaulo","Fluminense",V
"Vitória","Portuguesa",V
"AtléticoPR","Gama",D
"Bahia","SãoPaulo",V
"Figueirense","Cruzeiro",V
"Goiás","SãoCaetano",V
"Paysandu","Coritiba",E
"PontePreta","Palmeiras",V
"Portuguesa","BotafogoRJ",V
"Vasco","Santos",D
"AtléticoMG","Paraná",V
"Corinthians","Vitória",V
"Grêmio","Juventude",V
"BotafogoRJ","Coritiba",D
"Figueirense","Palmeiras",V
"Portuguesa","Cruzeiro",D
"Santos","Goiás",E
"AtléticoMG","Flamengo",D
"AtléticoPR","SãoPaulo",E
"Corinthians","Paraná",V
"Grêmio","Vitória",V
"Guarani","Juventude",E
"Paysandu","PontePreta",V
"SãoCaetano","Bahia",V
"Vasco","Internacional",E
"Cruzeiro","Vasco",V
"Fluminense","AtléticoPR",D
"Internacional","Bahia",V
"Juventude","Corinthians",D
"Paraná","Guarani",D
"PontePreta","Figueirense",V
"SãoPaulo","AtléticoMG",D
"Vitória","SãoCaetano",E
"Coritiba","Portuguesa",V
"Flamengo","Grêmio",D
"Gama","Santos",E
"Palmeiras","Paysandu",V
"AtléticoPR","SãoCaetano",D
"Bahia","BotafogoRJ",D
"Cruzeiro","Juventude",V
"Fluminense","Guarani",V
"Internacional","Paraná",D
"Figueirense","Gama",V
"Goiás","Grêmio",V
"Paysandu","AtléticoMG",V
"PontePreta","Flamengo",V
"Santos","Palmeiras",E
"SãoPaulo","Corinthians",E
"Vasco","Portuguesa",V
"Flamengo","Bahia",E
"Gama","Internacional",E
"Grêmio","Paysandu",V
"Juventude","Goiás",V
"Palmeiras","SãoPaulo",E
"BotafogoRJ","PontePreta",V
"SãoCaetano","Coritiba",V
"Vitória","Fluminense",V
"AtléticoMG","Figueirense",D
"Corinthians","Santos",D
"Paraná","Cruzeiro",E
"BotafogoRJ","SãoCaetano",E
"Flamengo","SãoPaulo",D
"Gama","Paysandu",V
"Goiás","AtléticoPR",E
"Guarani","Vasco",D
"Palmeiras","Portuguesa",V
"Fluminense","Paraná",V
"Guarani","Gama",V
"SãoPaulo","Coritiba",V
"Grêmio","BotafogoRJ",E
"AtléticoPR","PontePreta",D
"Corinthians","Figueirense",E
"Flamengo","SãoCaetano",V
"Goiás","Palmeiras",V
"Juventude","Portuguesa",E
"Paysandu","Bahia",V
"Santos","AtléticoMG",V
"Vitória","Cruzeiro",V
"Figueirense","SãoPaulo",D
"Palmeiras","Juventude",E
"Paraná","Vitória",V
"SãoCaetano","Vasco",V
"Bahia","AtléticoMG",V
"BotafogoRJ","Paysandu",V
"Coritiba","Guarani",D
"Cruzeiro","Santos",D
"Gama","Corinthians",D
"Internacional","Fluminense",E
"PontePreta","Goiás",V
"Portuguesa","AtléticoPR",E
"Bahia","PontePreta",V
"Coritiba","Grêmio",E
"Figueirense","AtléticoPR",V
"Gama","Juventude",V
"Internacional","Goiás",D
"Paysandu","Paraná",V
"SãoPaulo","Santos",V
"Vasco","Flamengo",V
"AtléticoMG","SãoCaetano",V
"BotafogoRJ","Vitória",D
"Palmeiras","Guarani",V
"Grêmio","Gama",V
"Santos","Portuguesa",D
"Vasco","Paraná",V
"AtléticoPR","Internacional",D
"Corinthians","PontePreta",V
"Cruzeiro","AtléticoMG",D
"Fluminense","Bahia",V
"Goiás","Figueirense",V
"Guarani","SãoPaulo",D
"Juventude","Coritiba",V
"SãoCaetano","Paysandu",V
"Vitória","Flamengo",D
"Bahia","Vasco",V
"Corinthians","Palmeiras",E
"Figueirense","Flamengo",V
"Fluminense","Goiás",E
"Paraná","Gama",V
"Paysandu","Santos",V
"PontePreta","Vitória",E
"Portuguesa","Guarani",V
"SãoCaetano","Cruzeiro",E
"AtléticoPR","Coritiba",V
"BotafogoRJ","Fluminense",D
"Gama","Goiás",D
"Internacional","Grêmio",D
"Juventude","Figueirense",V
"Portuguesa","SãoPaulo",D
"Santos","Flamengo",V
"Guarani","PontePreta",D
"AtléticoMG","Internacional",V
"Bahia","Santos",E
"Coritiba","Cruzeiro",V
"Figueirense","SãoCaetano",D
"Flamengo","Corinthians",D
