data,time1,time2,r1c,r1f,r2c,r2f,rk1,rk2,result
28/09/2003,"Bahia","Figueirense",0.666667,0.0666667,0.333333,0.733333,76,325,E
28/09/2003,"Coritiba","Paysandu",0.866667,0.466667,0.733333,0.133333,220,180,V
28/09/2003,"Criciúma","Goiás",0.8,0.2,0.8,0.533333,110,344,V
28/09/2003,"Cruzeiro","Vitória",0.733333,0.6,0.733333,0.4,375,141,V
28/09/2003,"Fluminense","AtléticoMG",0.333333,0.266667,0.6,0.466667,340,267,D
28/09/2003,"Fortaleza","Guarani",0.666667,0.2,0.866667,0.133333,143,143,V
28/09/2003,"Juventude","Corinthians",0.666667,0.0666667,0.466667,0.266667,308,358,V
28/09/2003,"PontePreta","Vasco",0.333333,0.133333,0.866667,0.133333,245,309,E
28/09/2003,"SãoCaetano","Paraná",0.8,0.266667,0.466667,0,287,309,V
04/10/2003,"AtléticoPR","Fluminense",0.466667,0.266667,0.333333,0.333333,345,340,E
04/10/2003,"Paysandu","Internacional",0.733333,0.133333,0.6,0.266667,180,371,E
04/10/2003,"Grêmio","Figueirense",0.4,0,0.333333,0.533333,265,325,V
04/10/2003,"SãoCaetano","PontePreta",0.8,0.266667,0.333333,0.0666667,287,245,V
04/10/2003,"SãoPaulo","Santos",0.533333,0.333333,0.733333,0.266667,431,415,D
05/10/2003,"Vitória","Corinthians",0.666667,0.4,0.466667,0.266667,141,358,D
05/10/2003,"Flamengo","Paraná",0.666667,0.2,0.466667,0.2,321,309,D
05/10/2003,"Goiás","Bahia",0.8,0.533333,0.666667,0.0666667,344,76,V
05/10/2003,"AtléticoMG","Vasco",0.8,0.466667,0.866667,0.133333,267,309,V
05/10/2003,"Juventude","Fortaleza",0.666667,0.0666667,0.666667,0.266667,308,143,E
05/10/2003,"Criciúma","Cruzeiro",0.8,0.2,0.733333,0.8,110,375,D
05/10/2003,"Guarani","Coritiba",0.866667,0.133333,0.866667,0.466667,143,220,V
08/10/2003,"Cruzeiro","Flamengo",0.866667,0.8,0.666667,0.2,375,321,V
08/10/2003,"Coritiba","Goiás",0.866667,0.466667,0.8,0.466667,220,344,V
08/10/2003,"Bahia","SãoPaulo",0.666667,0.0666667,0.533333,0.266667,76,431,V
08/10/2003,"Santos","Guarani",0.733333,0.266667,0.866667,0.133333,415,143,E
08/10/2003,"PontePreta","AtléticoPR",0.4,0.0666667,0.466667,0.266667,245,345,E
08/10/2003,"Fortaleza","Grêmio",0.533333,0.266667,0.4,0.0666667,143,265,E
08/10/2003,"Vasco","Juventude",0.866667,0.133333,0.666667,0.133333,309,308,E
08/10/2003,"Corinthians","SãoCaetano",0.466667,0.266667,0.8,0.266667,358,287,D
09/10/2003,"Fluminense","Vitória",0.466667,0.333333,0.666667,0.2,340,141,V
09/10/2003,"Paraná","Paysandu",0.666667,0.2,0.733333,0.0666667,309,180,V
09/10/2003,"Figueirense","AtléticoMG",0.333333,0.533333,0.8,0.6,325,267,D
09/10/2003,"Internacional","Criciúma",0.6,0.266667,0.8,0.133333,371,110,V
11/10/2003,"SãoCaetano","Santos",0.666667,0.266667,0.733333,0.333333,287,415,E
11/10/2003,"AtléticoPR","Coritiba",0.666667,0.266667,0.866667,0.4,345,220,V
11/10/2003,"Guarani","PontePreta",0.8,0.133333,0.4,0.266667,143,245,D
12/10/2003,"Vitória","Bahia",0.666667,0.2,0.666667,0.0666667,141,76,V
12/10/2003,"Flamengo","Vasco",0.666667,0.2,0.866667,0.0666667,321,309,V
12/10/2003,"Goiás","Fluminense",0.8,0.466667,0.466667,0.133333,344,340,V
12/10/2003,"SãoPaulo","Corinthians",0.666667,0.266667,0.466667,0.2,431,358,V
12/10/2003,"AtléticoMG","Cruzeiro",0.8,0.6,0.866667,0.8,267,375,D
12/10/2003,"Internacional","Grêmio",0.6,0.266667,0.4,0.266667,371,265,D
12/10/2003,"Juventude","Paraná",0.533333,0.133333,0.666667,0.266667,308,309,E
12/10/2003,"Figueirense","Criciúma",0.333333,0.533333,0.8,0.0666667,325,110,V
15/10/2003,"Paysandu","Fortaleza",0.866667,0.0666667,0.533333,0.266667,180,143,V
18/10/2003,"Coritiba","Bahia",0.866667,0.4,0.666667,0.0666667,220,76,V
18/10/2003,"Grêmio","AtléticoMG",0.466667,0.266667,0.8,0.6,265,267,E
18/10/2003,"Flamengo","Paysandu",0.666667,0.2,0.866667,0.0666667,321,180,V
18/10/2003,"Goiás","SãoPaulo",0.8,0.466667,0.666667,0.0666667,344,431,V
18/10/2003,"Guarani","Fluminense",0.8,0.133333,0.466667,0.133333,143,340,V
19/10/2003,"Corinthians","PontePreta",0.6,0.2,0.4,0.266667,358,245,V
19/10/2003,"Santos","AtléticoPR",0.733333,0.333333,0.666667,0.0666667,415,345,V
19/10/2003,"Paraná","Internacional",0.8,0.266667,0.6,0.0666667,309,371,V
19/10/2003,"Criciúma","Vasco",0.8,0.0666667,0.866667,0.0666667,110,309,V
19/10/2003,"Fortaleza","Figueirense",0.6,0.266667,0.333333,0.4,143,325,E
19/10/2003,"Vitória","SãoCaetano",0.533333,0.2,0.666667,0.333333,141,287,E
19/10/2003,"Cruzeiro","Juventude",0.8,0.8,0.533333,0.333333,375,308,D
22/10/2003,"SãoCaetano","Coritiba",0.666667,0.333333,0.866667,0.2,287,220,V
22/10/2003,"Figueirense","Flamengo",0.4,0.4,0.666667,0.0666667,325,321,E
22/10/2003,"Fluminense","Corinthians",0.666667,0.133333,0.6,0.2,340,358,V
22/10/2003,"PontePreta","Goiás",0.4,0.266667,0.8,0.466667,245,344,D
22/10/2003,"Bahia","Santos",0.666667,0.0666667,0.733333,0.466667,76,415,D
22/10/2003,"AtléticoPR","Vitória",0.466667,0.0666667,0.533333,0.4,345,141,D
22/10/2003,"Internacional","Cruzeiro",0.8,0.0666667,0.8,0.8,371,375,V
23/10/2003,"Paysandu","Criciúma",0.866667,0.0666667,0.8,0.0666667,180,110,V
23/10/2003,"AtléticoMG","Paraná",0.666667,0.6,0.8,0.333333,267,309,E
23/10/2003,"Juventude","Grêmio",0.533333,0.333333,0.466667,0.466667,308,265,D
23/10/2003,"Vasco","Fortaleza",0.733333,0.0666667,0.6,0.333333,309,143,E
23/10/2003,"SãoPaulo","Guarani",0.533333,0.0666667,0.8,0.133333,431,143,E
25/10/2003,"Bahia","Fluminense",0.533333,0.0666667,0.666667,0.2,76,340,E
25/10/2003,"Cruzeiro","Figueirense",0.8,0.8,0.4,0.333333,375,325,V
25/10/2003,"Coritiba","Santos",0.8,0.2,0.733333,0.666667,220,415,D
25/10/2003,"PontePreta","Vitória",0.4,0.266667,0.533333,0.266667,245,141,E
26/10/2003,"Paysandu","AtléticoMG",0.866667,0.0666667,0.666667,0.533333,180,267,V
26/10/2003,"Paraná","Vasco",0.666667,0.333333,0.733333,0.133333,309,309,E
26/10/2003,"Flamengo","Grêmio",0.8,0.0666667,0.466667,0.466667,321,265,V
26/10/2003,"Corinthians","AtléticoPR",0.4,0.2,0.466667,0.266667,358,345,D
26/10/2003,"SãoCaetano","SãoPaulo",0.666667,0.333333,0.533333,0.266667,287,431,D
26/10/2003,"Criciúma","Fortaleza",0.666667,0.0666667,0.6,0.4,110,143,E
26/10/2003,"Internacional","Juventude",0.666667,0.0666667,0.533333,0.4,371,308,E
26/10/2003,"Goiás","Guarani",0.8,0.466667,0.8,0.133333,344,143,V
01/11/2003,"Guarani","Bahia",0.8,0.133333,0.533333,0,143,76,V
01/11/2003,"AtléticoPR","SãoCaetano",0.666667,0.266667,0.666667,0.266667,345,287,V
01/11/2003,"Grêmio","Paraná",0.4,0.466667,0.666667,0.533333,265,309,D
01/11/2003,"Fluminense","PontePreta",0.533333,0.2,0.4,0.333333,340,245,E
01/11/2003,"AtléticoMG","Criciúma",0.533333,0.533333,0.666667,0.133333,267,110,E
02/11/2003,"SãoPaulo","Coritiba",0.666667,0.266667,0.8,0,431,220,V
02/11/2003,"Fortaleza","Cruzeiro",0.533333,0.4,0.8,0.8,143,375,D
02/11/2003,"Vasco","Internacional",0.533333,0.133333,0.666667,0.266667,309,371,D
02/11/2003,"Figueirense","Paysandu",0.533333,0.333333,0.866667,0.0666667,325,180,V
02/11/2003,"Vitória","Goiás",0.333333,0.266667,0.8,0.466667,141,344,D
02/11/2003,"Santos","Corinthians",0.733333,0.666667,0.4,0.2,415,358,V
02/11/2003,"Juventude","Flamengo",0.4,0.4,0.8,0.133333,308,321,E
05/11/2003,"Paysandu","Vasco",0.666667,0.0666667,0.533333,0.266667,180,309,D
05/11/2003,"Juventude","Criciúma",0.4,0.4,0.666667,0.0666667,308,110,V
05/11/2003,"SãoPaulo","Fluminense",0.666667,0.266667,0.533333,0.133333,431,340,V
05/11/2003,"Coritiba","Corinthians",0.8,0,0.4,0.2,220,358,V
05/11/2003,"Santos","Vitória",0.733333,0.666667,0.333333,0.266667,415,141,V
05/11/2003,"Cruzeiro","Grêmio",0.8,0.8,0.4,0.466667,375,265,V
05/11/2003,"Internacional","Fortaleza",0.533333,0.266667,0.533333,0.266667,371,143,E
05/11/2003,"Paraná","Figueirense",0.733333,0.533333,0.533333,0.2,309,325,E
06/11/2003,"Guarani","SãoCaetano",0.6,0.133333,0.666667,0.466667,143,287,D
06/11/2003,"Bahia","PontePreta",0.533333,0,0.4,0.266667,76,245,V
06/11/2003,"Goiás","AtléticoPR",1,0.466667,0.666667,0.266667,344,345,V
06/11/2003,"Flamengo","AtléticoMG",0.8,0.133333,0.533333,0.466667,321,267,V
08/11/2003,"Fluminense","Coritiba",0.666667,0.133333,0.8,0,340,220,V
08/11/2003,"Criciúma","Paraná",0.466667,0.0666667,0.733333,0.733333,110,309,D
08/11/2003,"Grêmio","Paysandu",0.533333,0.466667,0.666667,0,265,180,V
09/11/2003,"PontePreta","Santos",0.2,0.266667,0.733333,0.866667,245,415,D
09/11/2003,"Vitória","Guarani",0.333333,0.266667,0.6,0.2,141,143,E
09/11/2003,"Figueirense","Juventude",0.666667,0.2,0.4,0.4,325,308,V
09/11/2003,"Fortaleza","Flamengo",0.533333,0.266667,0.8,0.133333,143,321,V
09/11/2003,"Vasco","Cruzeiro",0.333333,0.266667,0.8,0.8,309,375,D
09/11/2003,"Corinthians","Goiás",0.4,0.2,1,0.4,358,344,V
09/11/2003,"AtléticoPR","SãoPaulo",0.666667,0.266667,0.666667,0.2,345,431,V
09/11/2003,"AtléticoMG","Internacional",0.333333,0.466667,0.533333,0.466667,267,371,D
09/11/2003,"SãoCaetano","Bahia",0.666667,0.466667,0.533333,0,287,76,V
22/11/2003,"AtléticoMG","Fortaleza",0.333333,0.466667,0.533333,0.2,267,143,V
22/11/2003,"Coritiba","PontePreta",0.666667,0,0.2,0.333333,220,245,E
22/11/2003,"Figueirense","Internacional",0.866667,0.2,0.533333,0.466667,325,371,V
22/11/2003,"Flamengo","Criciúma",1,0.133333,0.466667,0.0666667,321,110,V
22/11/2003,"Grêmio","Vasco",0.666667,0.466667,0.333333,0.266667,265,309,V
23/11/2003,"Santos","Fluminense",0.866667,0.866667,0.666667,0.0666667,415,340,V
